run_id,timestamp,source,chord_length_mm,leading_edge_angle_deg,leading_edge_thickness_level,trailing_edge_angle_deg,trailing_edge_thickness_mm,te_upr_angle_deg,te_lwr_angle_deg,alpha_deg,velocidad_kmh,reynolds,CL,CD,CM,LD,status,error_detail
0024_20260713_234338,2026-07-13T23:43:38,sobol_ext_low,159.349262,4.332009,0.734868,165.628779,2.23922,5.648569,-7.907554,-8,110,329532,,,,,error_xfoil_no_converge,TE-real no converge a-8 v110
0024_20260713_234338,2026-07-13T23:43:38,sobol_ext_low,159.349262,4.332009,0.734868,165.628779,2.23922,5.648569,-7.907554,-10,110,329532,,,,,error_xfoil_no_converge,TE-real no converge a-10 v110
0024_20260713_234338,2026-07-13T23:43:38,sobol_ext_low,159.349262,4.332009,0.734868,165.628779,2.23922,5.648569,-7.907554,0,180,539234,-0.5599,0.02157,0.1638,-25.957348168752898,ok,
0024_20260713_234338,2026-07-13T23:43:38,sobol_ext_low,159.349262,4.332009,0.734868,165.628779,2.23922,5.648569,-7.907554,-2,180,539234,-0.7976,0.02308,0.1631,-34.5580589254766,ok,
0024_20260713_234338,2026-07-13T23:43:38,sobol_ext_low,159.349262,4.332009,0.734868,165.628779,2.23922,5.648569,-7.907554,-4,180,539234,-1.0347,0.0271,0.1627,-38.18081180811808,ok,
0024_20260713_234338,2026-07-13T23:43:38,sobol_ext_low,159.349262,4.332009,0.734868,165.628779,2.23922,5.648569,-7.907554,-6,180,539234,-1.2319,0.0427,0.1541,-28.85011709601873,ok,
0024_20260713_234338,2026-07-13T23:43:38,sobol_ext_low,159.349262,4.332009,0.734868,165.628779,2.23922,5.648569,-7.907554,-8,180,539234,,,,,error_xfoil_no_converge,TE-real no converge a-8 v180
0024_20260713_234338,2026-07-13T23:43:38,sobol_ext_low,159.349262,4.332009,0.734868,165.628779,2.23922,5.648569,-7.907554,-10,180,539234,-1.2946,0.07794,0.0991,-16.610212984346933,ok,
0024_20260713_234338,2026-07-13T23:43:38,sobol_ext_low,159.349262,4.332009,0.734868,165.628779,2.23922,5.648569,-7.907554,-12,180,539234,-1.1917,0.10707,0.0823,-11.130101802559071,ok,
0024_20260713_234338,2026-07-13T23:43:38,sobol_ext_low,159.349262,4.332009,0.734868,165.628779,2.23922,5.648569,-7.907554,0,290,868767,-0.5773,0.01805,0.1676,-31.983379501385045,ok,
0024_20260713_234338,2026-07-13T23:43:38,sobol_ext_low,159.349262,4.332009,0.734868,165.628779,2.23922,5.648569,-7.907554,-2,290,868767,-0.8018,0.01939,0.1643,-41.35121196493037,ok,
0024_20260713_234338,2026-07-13T23:43:38,sobol_ext_low,159.349262,4.332009,0.734868,165.628779,2.23922,5.648569,-7.907554,-4,290,868767,-1.0373,0.02271,0.1637,-45.67591369440776,ok,
0024_20260713_234338,2026-07-13T23:43:38,sobol_ext_low,159.349262,4.332009,0.734868,165.628779,2.23922,5.648569,-7.907554,-6,290,868767,-1.2541,0.02639,0.159,-47.52178855627131,ok,
0024_20260713_234338,2026-07-13T23:43:38,sobol_ext_low,159.349262,4.332009,0.734868,165.628779,2.23922,5.648569,-7.907554,-8,290,868767,-1.4532,0.03133,0.1527,-46.38365783594,ok,
0024_20260713_234338,2026-07-13T23:43:38,sobol_ext_low,159.349262,4.332009,0.734868,165.628779,2.23922,5.648569,-7.907554,-10,290,868767,-1.5957,0.04023,0.1361,-39.66442953020134,ok,
0024_20260713_234338,2026-07-13T23:43:38,sobol_ext_low,159.349262,4.332009,0.734868,165.628779,2.23922,5.648569,-7.907554,-12,290,868767,-1.7126,0.04541,0.1166,-37.71415987667915,ok,
0024_20260713_234338,2026-07-13T23:43:38,sobol_ext_low,159.349262,4.332009,0.734868,165.628779,2.23922,5.648569,-7.907554,-14,290,868767,,,,,error_xfoil_no_converge,TE-real no converge a-14 v290
0013_20260714_001110,2026-07-14T00:11:10,sobol_ext_low,162.146315,8.952496,0.614686,160.176379,3.61174,12.633379,-6.584526,0,110,335316,,,,,error_xfoil_no_converge,TE-real no converge a0 v110
0013_20260714_001110,2026-07-14T00:11:10,sobol_ext_low,162.146315,8.952496,0.614686,160.176379,3.61174,12.633379,-6.584526,-2,110,335316,,,,,error_xfoil_no_converge,TE-real no converge a-2 v110
0013_20260714_001110,2026-07-14T00:11:10,sobol_ext_low,162.146315,8.952496,0.614686,160.176379,3.61174,12.633379,-6.584526,-4,110,335316,-1.094,0.03163,0.178,-34.58741700916852,ok,
0013_20260714_001110,2026-07-14T00:11:10,sobol_ext_low,162.146315,8.952496,0.614686,160.176379,3.61174,12.633379,-6.584526,-6,110,335316,,,,,error_xfoil_no_converge,TE-real no converge a-6 v110
0013_20260714_001110,2026-07-14T00:11:10,sobol_ext_low,162.146315,8.952496,0.614686,160.176379,3.61174,12.633379,-6.584526,-8,110,335316,-1.3695,0.05493,0.1409,-24.931731294374657,ok,
0013_20260714_001110,2026-07-14T00:11:10,sobol_ext_low,162.146315,8.952496,0.614686,160.176379,3.61174,12.633379,-6.584526,-10,110,335316,-1.4416,0.07899,0.1217,-18.25041144448664,ok,
0013_20260714_001110,2026-07-14T00:11:10,sobol_ext_low,162.146315,8.952496,0.614686,160.176379,3.61174,12.633379,-6.584526,0,180,548700,,,,,error_xfoil_no_converge,TE-real no converge a0 v180
0013_20260714_001110,2026-07-14T00:11:10,sobol_ext_low,162.146315,8.952496,0.614686,160.176379,3.61174,12.633379,-6.584526,-2,180,548700,-0.76,0.02659,0.1592,-28.5821737495299,ok,
0013_20260714_001110,2026-07-14T00:11:10,sobol_ext_low,162.146315,8.952496,0.614686,160.176379,3.61174,12.633379,-6.584526,-4,180,548700,-1.0623,0.02674,0.1722,-39.72700074794316,ok,
0013_20260714_001110,2026-07-14T00:11:10,sobol_ext_low,162.146315,8.952496,0.614686,160.176379,3.61174,12.633379,-6.584526,-6,180,548700,-1.3214,0.03254,0.1777,-40.608481868469575,ok,
0013_20260714_001110,2026-07-14T00:11:10,sobol_ext_low,162.146315,8.952496,0.614686,160.176379,3.61174,12.633379,-6.584526,-8,180,548700,-1.5302,0.04265,0.1746,-35.87807737397421,ok,
0013_20260714_001110,2026-07-14T00:11:10,sobol_ext_low,162.146315,8.952496,0.614686,160.176379,3.61174,12.633379,-6.584526,-10,180,548700,,,,,error_xfoil_no_converge,TE-real no converge a-10 v180
0013_20260714_001110,2026-07-14T00:11:10,sobol_ext_low,162.146315,8.952496,0.614686,160.176379,3.61174,12.633379,-6.584526,-12,180,548700,,,,,error_xfoil_no_converge,TE-real no converge a-12 v180
0013_20260714_001110,2026-07-14T00:11:10,sobol_ext_low,162.146315,8.952496,0.614686,160.176379,3.61174,12.633379,-6.584526,0,290,884016,-0.596,0.0222,0.1718,-26.846846846846844,ok,
0013_20260714_001110,2026-07-14T00:11:10,sobol_ext_low,162.146315,8.952496,0.614686,160.176379,3.61174,12.633379,-6.584526,-2,290,884016,-0.8045,0.02143,0.1673,-37.54083061129258,ok,
0013_20260714_001110,2026-07-14T00:11:10,sobol_ext_low,162.146315,8.952496,0.614686,160.176379,3.61174,12.633379,-6.584526,-4,290,884016,-1.0188,0.0234,0.1633,-43.53846153846153,ok,
0013_20260714_001110,2026-07-14T00:11:10,sobol_ext_low,162.146315,8.952496,0.614686,160.176379,3.61174,12.633379,-6.584526,-6,290,884016,-1.2934,0.0273,0.1725,-47.37728937728938,ok,
0013_20260714_001110,2026-07-14T00:11:10,sobol_ext_low,162.146315,8.952496,0.614686,160.176379,3.61174,12.633379,-6.584526,-8,290,884016,-1.4891,0.0317,0.1653,-46.97476340694007,ok,
0013_20260714_001110,2026-07-14T00:11:10,sobol_ext_low,162.146315,8.952496,0.614686,160.176379,3.61174,12.633379,-6.584526,-10,290,884016,-1.6605,0.03618,0.1552,-45.89552238805971,ok,
0013_20260714_001110,2026-07-14T00:11:10,sobol_ext_low,162.146315,8.952496,0.614686,160.176379,3.61174,12.633379,-6.584526,-12,290,884016,-1.7261,0.04879,0.1276,-35.378151260504204,ok,
0013_20260714_001110,2026-07-14T00:11:10,sobol_ext_low,162.146315,8.952496,0.614686,160.176379,3.61174,12.633379,-6.584526,-14,290,884016,-1.7196,0.06235,0.0957,-27.57979149959904,ok,
0033_20260714_102351,2026-07-14T10:23:51,sobol_ext_low,164.993589,7.080626,0.770735,160.072614,3.790875,7.093123,-7.397906,0,110,341205,-0.6151,0.02956,0.1818,-20.8085250338295,ok,
0033_20260714_102351,2026-07-14T10:23:51,sobol_ext_low,164.993589,7.080626,0.770735,160.072614,3.790875,7.093123,-7.397906,-2,110,341205,-0.97,0.03026,0.2073,-32.055518836748185,ok,
0033_20260714_102351,2026-07-14T10:23:51,sobol_ext_low,164.993589,7.080626,0.770735,160.072614,3.790875,7.093123,-7.397906,-4,110,341205,-1.2294,0.03591,0.2112,-34.23558897243108,ok,
